question,ground_truth_answer,source_document,supporting_context,topic,context_used,llm_response
Is there a vaccine?,Not currently. There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to avoid exposure to the virus.,COUGH_FAQ_BANK,Not currently. There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to avoid exposure to the virus.,vaccination,"No vaccine is currently available, but human testing on a vaccine will begin soon. It may take a year or more to determine if an effective vaccine exists. || No, currently there is not a vaccine for COVID-19. || There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to avoid exposure to the virus. || Currently, there is no vaccine available to protect against COVID-19. || No, there is currently no vaccine against this virus. However, breakthroughs in China and Australia have allowed scientists to test vaccine possibilities in the coming weeks and months.","No. The sources state that there is currently no vaccine available to protect against COVID-19, though human testing is expected to begin soon and vaccine candidates may be tested in the coming weeks and months."
2. What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",COVID19_FAQ,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",symptoms,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Other symptoms may include aches, nasal congestion, runny nose, sore throat, or diarrhea. Symptoms are usually mild and begin gradually. Some people may be infected without symptoms. About 80% recover without special treatment, but around 1 in 6 may develop serious illness, particularly older adults and those with underlying health conditions. Individuals with fever, cough, and difficulty breathing should seek medical attention. || Symptoms of COVID-19 include:
- Fever or chills
- Cough
- Shortness of breath or difficulty breathing
- Muscle or body aches
- Headache
- New loss of taste or smell
- Sore throat
- Congestion or runny nose
- Nausea or vomiting
- Diarrhea || The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Other symptoms may include aches and pains, nasal congestion, runny nose, sore throat, or diarrhea. Symptoms are usually mild and begin gradually. Some infected individuals may remain asymptomatic. || Symptoms of COVID-19 may include cough, shortness of breath or difficulty breathing, fever, chills, repeated shaking with chills, muscle pain, headache, sore throat, and new loss of taste or smell. || Symptoms of COVID-19 include fever, cough, shortness of breath, and difficulty breathing.","Symptoms of COVID-19 can include fever (or chills), tiredness, cough (often dry), shortness of breath or difficulty breathing, muscle/body aches (aches and pains), headache, sore throat, nasal congestion or runny nose, new loss of taste or smell, nausea or vomiting, and diarrhea."
How long can a person spread COVID-19?,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",COUGH_FAQ_BANK,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",transmission,A person can spread COVID-19 about 2 days before becoming ill and up to 8 days after symptoms onset. Asymptomatic individuals can also transmit the virus. || An infected person can spread COVID-19 starting 48 hours before symptoms appear or a positive test result. || A person with COVID-19 is contagious starting from 2 days before symptoms appear (or 2 days before testing positive if asymptomatic) until they meet the criteria to discontinue isolation. || A person can spread COVID-19 even if asymptomatic. Health officials do not have a definitive timeline for how long this can occur. || A person with COVID-19 is contagious starting 2 days before symptoms appear (or 2 days before a positive test if asymptomatic) until they meet the criteria to discontinue isolation.,"From the provided context: a person can spread COVID-19 starting about 2 days (48 hours) before symptoms appear (or about 2 days before a positive test if they are asymptomatic). They may continue to be contagious up to about 8 days after symptom onset, or until they meet the criteria to discontinue isolation. The context also notes that asymptomatic people can transmit COVID-19, and that officials do not have a definitive timeline for how long asymptomatic transmission can occur."
What kind of pertussis vaccine is used in middle and high income countries?,acellular,COVID-QA_MASTER,"Population-Based Pertussis Incidence and Risk Factors in Infants Less Than 6 Months in Nepal https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5907881/ SHA: ef821e34873d4752ecae41cd9dfc08a5e6db45e2 Authors: Hughes, Michelle M; Englund, Janet A; Kuypers, Jane; Tielsch, James M; Khatry, Subarna K; Shrestha, Laxman; LeClerq, Steven C; Steinhoff, Mark; Katz, Joanne Date: 2017-03-01 DOI: 10.1093/jpids/piw079 License: cc-by Abstract: BACKGROUND: Pertussis is estimated to cause 2 percent of childhood deaths globally and is a growing public health problem in developed countries despite high vaccination",vaccination,"Acellular pertussis vaccine is used in middle and high income countries. || Middle and high-income countries use whole cell pertussis vaccines, as recently recommended by the WHO. || The retrieved context does not provide relevant information about the type of pertussis vaccine used in middle and high-income countries. Please provide specific details about the pertussis vaccine for a more accurate response. || The retrieved context does not provide relevant information regarding the type of pertussis vaccine used in middle and high-income countries. Please provide specific information about the pertussis vaccine for a more accurate response. || Middle and high-income countries typically use acellular pertussis vaccines.","The provided context is conflicting. Sources 1 and 5 say middle and high-income countries use **acellular pertussis vaccine**, while Source 2 says they use **whole cell pertussis vaccines**. Because of this inconsistency, I do not have enough information to give a single definitive answer."
Are there any vaccines against to protect against respiratory viral infections?,"Currently, there are no approved vaccines or medications available for most of the respiratory viruses",COVID-QA_MASTER,"A 3-year prospective study of the epidemiology of acute respiratory viral infections in hospitalized children in Shenzhen, China https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181804/ SHA: ef5fe7296ec8baf90d974cf5737af0da3ed403ea Authors: He, Ying; Lin, Guang-Yu; Wang, Qiong; Cai, Xiao-Ying; Zhang, Yin-Hui; Lin, Chuang-Xing; Lu, Chang-Dong; Lu, Xue-Dong Date: 2014-05-14 DOI: 10.1111/irv.12257 License: cc-by Abstract: BACKGROUND: The epidemiology of local viral etiologies is essential for the management of viral respiratory tract infections. Limited data are available in China to describe th",vaccination,"Currently, there are no approved vaccines for most respiratory viral infections. || There is no universal vaccine for all influenza virus infections, but effective vaccines can be developed for specific influenza strains. || Stabilized versions of the fusion (F) protein in the pre-fusion conformation for RSV have improved understanding of B cell responses and led to the development of potentially safer and more effective vaccine candidates. || Vaccines are available for influenza and respiratory syncytial virus (RSV) to protect against respiratory viral infections. || Vaccines are available for influenza and respiratory syncytial virus (RSV), which are among the viral infections monitored by Canada's Respiratory Virus Detection Surveillance System (RVDSS).","Yes. The context states that vaccines are available for influenza and respiratory syncytial virus (RSV) to protect against respiratory viral infections. However, it also notes that for most respiratory viral infections there are currently no approved vaccines."
What is the global coverage of influenza and pneumonia vaccines?,"By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination,"By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. Coverage varies by region: 90% in the Americas and 25% in the Western Pacific. || Global coverage for influenza and pneumonia vaccines varies, with the Western Pacific at 25%. By 2015, pneumococcal conjugate vaccination was introduced in 54 countries, achieving 35% coverage for three doses in infant populations. || Vaccination against Haemophilus influenzae type B is associated with an 18% decrease in radiologic pneumonia, while pneumococcal conjugate vaccination is linked to a 26% decrease in California. || New conjugate vaccines against Haemophilus influenzae type b and Streptococcus pneumoniae have reduced cases of pneumonia. || Pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia, 25% in South Africa, and 26% in the Philippines.","I do not have enough information to answer this question. The context only states that global coverage varies by region and gives one regional figure (Western Pacific at 25%), but it does not provide an overall global coverage percentage for influenza and pneumonia vaccines."
6. I am well and asymptomatic. Should I use a mask?,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",COVID19_FAQ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",symptoms,"According to the WHO, individuals who are well and asymptomatic do not need to wear a medical mask, as there is no evidence of its usefulness for non-sick persons. However, local cultural practices may influence mask usage. If masks are worn, best practices for wearing, removing, and disposing of them, as well as hand hygiene after removal, should be followed. || According to the WHO, individuals who are well and asymptomatic do not need to wear a medical mask, as there is no evidence of its usefulness for protecting non-sick persons. || If masks are used, follow best practices for wearing, removing, and disposing of them, as well as hand hygiene after removal. Local cultural habits may also influence mask usage. || As you are well and asymptomatic, refer to WHO guidance on mask use in the community. || The CDC recommends that asymptomatic individuals wear cloth masks in public to reduce the risk of asymptomatic spread. Social distancing is also important in preventing spread.","The context provides two different recommendations:

- **WHO:** If you are well and asymptomatic, you **do not need to wear a medical mask**, because there is **no evidence of its usefulness for protecting non-sick persons**. Local cultural practices may influence mask use. If you do wear a mask, follow best practices for wearing, removing, and disposing of it, and perform hand hygiene after removal.

- **CDC:** Asymptomatic individuals are recommended to wear a **cloth mask in public** to reduce the risk of asymptomatic spread, and **social distancing** is also important.

So, based on the provided context, guidance depends on whether you follow WHO or CDC recommendations."
Should hepatitis A and hepatitis B vaccines continue to be administered to adults at risk for hepatitis A or hepatitis B?,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",COUGH_FAQ_BANK,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",vaccination,"The retrieved context does not provide relevant information regarding the administration of hepatitis A and B vaccines to adults at risk. Therefore, there is no compressed context to present. || Hepatitis A and hepatitis B vaccines should continue to be administered to adults at risk for hepatitis A or hepatitis B, particularly for at-risk populations. || Hepatitis A and B vaccines should continue to be administered to adults at risk for these infections. A concern with these vaccines is their safety in immunocompromised individuals. || The retrieved context does not address the user query about the administration of hepatitis A and B vaccines to at-risk adults. Therefore, there is no relevant information to compress. || The retrieved context does not provide relevant information regarding the administration of hepatitis A and B vaccines to adults at risk. Therefore, there is no compressed context to present.","Yes. The context states that hepatitis A and hepatitis B vaccines should continue to be administered to adults at risk for hepatitis A or hepatitis B, particularly for at-risk populations."
"What are the recommendations for individuals, especially vulnerable persons, in slowing the spread of COVID-19?","The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",COUGH_FAQ_BANK,"The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",transmission,"Recommendations for individuals, especially vulnerable persons, to slow the spread of COVID-19 include minimizing travel outside the home, particularly if sick, and wearing face coverings around people from other households when leaving the home is necessary. || Recommendations for individuals, especially vulnerable persons, to slow the spread of COVID-19 include: 

- Washing hands frequently with soap and water or hand sanitizer.
- Refraining from touching the face.
- Sneezing or coughing into a tissue or the inside of the elbow.
- Disinfecting frequently used items and surfaces. || To slow the spread of COVID-19, individuals, especially vulnerable persons, should minimize in-person contact, practice physical distancing, ensure good ventilation, wear masks or cloth face coverings, and wash hands frequently. Fewer, shorter, and safer interactions are essential. || Public Health recommends that everyone, especially vulnerable individuals, avoid all non-essential contact with others to help slow the spread of COVID-19. || Older adults and individuals with risk factors should stay home if possible and wear a cloth face covering in public, especially where social distancing is difficult.","Recommendations for individuals—especially vulnerable persons—to slow the spread of COVID-19 include:

- Minimize travel outside the home; stay home if possible, particularly if sick. 
- Avoid all non-essential contact with others; minimize in-person contact and practice physical distancing.
- Wear a mask/cloth face covering around people from other households when leaving home is necessary, especially in public places where distancing is difficult.
- Ensure good ventilation during interactions.
- Keep interactions fewer, shorter, and safer.
- Wash hands frequently with soap and water or use hand sanitizer.
- Avoid touching your face.
- Sneeze or cough into a tissue or into the inside of your elbow.
- Disinfect frequently used items and surfaces."
How can CCR5's effect in HIV-1 transmission be reduced?,The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1,COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission,"The 32-bp deletion polymorphism in CCR5 protects against vertical transmission of HIV-1. || CCR5 genetic variants can influence HIV-1 transmission, with higher expression linked to increased risk of mother-to-child transmission (MTCT) in sub-Saharan Africans. || Low levels of DC-SIGNR in the placenta allow HIV-1 to preferentially bind CCR5 on endothelial cells, compromising placental barrier integrity and increasing the transmission of maternal HIV-1-infected cells to the fetus. || High copy numbers of CCL3L1, a ligand for CCR5, are linked to increased chemokine production and a reduced risk of mother-to-child transmission (MTCT) of HIV-1. || DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing the virus and promoting its degradation.","Based on the provided context, CCR5’s effect in HIV-1 mother-to-child transmission could be reduced by:

- Having CCR5 genetic variants that lower CCR5 function, such as the 32-bp deletion polymorphism in CCR5, which is reported to protect against vertical transmission of HIV-1. (Source 1)
- Reducing CCR5 expression, since higher CCR5 expression is linked to increased risk of mother-to-child transmission in sub-Saharan Africans. (Source 2)
- Increasing competition for CCR5 via higher copy numbers of CCL3L1 (a CCR5 ligand), which is associated with increased chemokine production and reduced risk of mother-to-child transmission. (Source 4)
- Maintaining/providing higher DC-SIGNR at the placental endothelial surface, which may capture HIV-1 and promote its degradation; low DC-SIGNR is described as allowing HIV-1 to preferentially bind CCR5, compromising placental barrier integrity and increasing transmission risk. (Sources 3, 5)"
What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants?,544 base pairs,COVID-QA_MASTER,"The First Detection of Equine Coronavirus in Adult Horses and Foals in Ireland https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6832964/ SHA: eee5a9068ade4c6776f189045115a90a5785e983 Authors: Nemoto, Manabu; Schofield, Warren; Cullinane, Ann Date: 2019-10-14 DOI: 10.3390/v11100946 License: cc-by Abstract: The objective of this study was to investigate the presence of equine coronavirus (ECoV) in clinical samples submitted to a diagnostic laboratory in Ireland. A total of 424 clinical samples were examined from equids with enteric disease in 24 Irish counties between 2011 and 2015. A real-time",prevention,"The distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants is 544 base pairs. || The distance between the p4.7 and p12.7 genes in the Irish equine coronavirus variant includes a 148-nucleotide insertion compared to the Japanese variant. || The Irish equine coronaviruses show a high level of homology, suggesting low genetic diversity. || The retrieved context does not contain relevant information regarding the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants. || The retrieved context does not contain relevant information regarding the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants.",The distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants is **544 base pairs**.
What are the symptoms of H5N1 infection in humans?,"fever, encephalitis, pneumonia, and severe acute respiratory syndrome (SARS)",COVID-QA_MASTER,"Immunomodulatory Activity and Protective Effects of Polysaccharide from Eupatorium adenophorum Leaf Extract on Highly Pathogenic H5N1 Influenza Infection https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3789439/ SHA: efba2008a6ccf1ad2614aebd79a6a741ea6538b9 Authors: Jin, Yi; Zhang, Yuewei; Wan, Chunyan; Wang, Hongjun; Hou, Lingyu; Chang, Jianyu; Fan, Kai; Xie, Xiangming Date: 2013-09-18 DOI: 10.1155/2013/194976 License: cc-by Abstract: The development of novel broad-spectrum, antiviral agents against H5N1 infection is urgently needed. In this study, we evaluated the immunomodulatory activities",symptoms,"Symptoms of H5N1 infection in humans include fever or chills, cough, shortness of breath, fatigue, muscle or body aches, headache, new loss of taste or smell, sore throat, congestion or runny nose, nausea or vomiting, and diarrhea. || Symptoms of H5N1 infection in humans can include pneumonia, severe acute respiratory syndrome, kidney failure, and potentially death. || The retrieved context does not contain relevant information about H5N1 infection symptoms in humans. Please provide the correct context for compression. || Symptoms of H5N1 infection in humans include fever or chills, cough, shortness of breath, fatigue, muscle or body aches, headache, new loss of taste or smell, sore throat, congestion or runny nose, nausea or vomiting, and diarrhea. || The retrieved context does not contain relevant information about H5N1 infection symptoms in humans. Please provide the correct context for compression.","Symptoms of H5N1 infection in humans include fever or chills, cough, shortness of breath, fatigue, muscle or body aches, headache, new loss of taste or smell, sore throat, congestion or runny nose, nausea or vomiting, and diarrhea. It can also include more severe outcomes such as pneumonia, severe acute respiratory syndrome, kidney failure, and potentially death."
How are the studies on B-cells helping the development of a universal influenza vaccine?,"Influenza also performs fusion through the stem region of the hemagglutinin protein, and the identification of B cells that target this relatively conserved site has spurred research on the development of a universal influenza vaccine (",COVID-QA_MASTER,"Techniques to Study Antigen-Specific B Cell Responses https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6667631/ SHA: ee632fa425607e8ff91fc3730bc0782d43ce9c0c Authors: Boonyaratanakornkit, Jim; Taylor, Justin J. Date: 2019-07-24 DOI: 10.3389/fimmu.2019.01694 License: cc-by Abstract: Antibodies against foreign antigens are a critical component of the overall immune response and can facilitate pathogen clearance during a primary infection and also protect against subsequent infections. Dysregulation of the antibody response can lead to an autoimmune disease, malignancy, or enhanced infection. Sin",vaccination,"Studies on B-cells targeting the conserved stem region of the hemagglutinin protein are advancing the development of a universal influenza vaccine. || Studies on B-cells have provided insights into the immune response to infections, which can inform the development of safer and more effective vaccine candidates for viruses like influenza. || Studies on B-cells have led to the development of vaccine candidates that elicit protective antibodies, antibodies that prevent disease when administered prophylactically, and therapeutic antibodies for use after disease onset. || Studies on B-cells have improved the understanding of immunity to conserved influenza virus antigens, raising the possibility of developing a universal influenza vaccine. || Studies on rare B-cells that produce broadly neutralizing antibodies (bnAbs) are motivated by the discovery that these antibodies can protect against diverse viral isolates, driving efforts to understand their developmental pathways.","Studies on B-cells are helping universal influenza vaccine development by improving understanding of immunity to conserved influenza virus antigens—especially B-cell responses targeting the conserved stem region of the hemagglutinin protein—and by investigating rare B-cells that produce broadly neutralizing antibodies that can protect against diverse viral isolates. Together, these advances support efforts to design vaccine candidates capable of broader, potentially universal, protection."
10. Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. Its not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",COVID19_FAQ,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. Its not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",symptoms,"The symptoms of COVID-19 are similar in children and adults, but children typically present with milder symptoms. Reported symptoms in children include fever, runny nose, cough, vomiting, and diarrhea. It is unclear if some children, particularly those with underlying medical conditions, are at higher risk for severe illness. || The symptoms of COVID-19 are similar in children and adults, but children typically present with milder symptoms. Reported symptoms in children include fever, runny nose, cough, vomiting, and diarrhea. || Children exhibit similar cold-like symptoms to adults, including fever, runny nose, and cough. Severe symptoms are uncommon, with some children experiencing vomiting and diarrhea. || The symptoms of COVID-19 are similar in children and adults, including fever, cough, and difficulty breathing. || The most common symptoms of COVID-19 include fever, tiredness, and dry cough, with some patients experiencing aches, nasal congestion, runny nose, sore throat, or diarrhea. Symptoms are usually mild and can begin gradually. Some individuals may be asymptomatic. Serious illness, including difficulty breathing, occurs in about 1 in 6 cases, particularly in older adults and those with underlying health conditions.","The context indicates that COVID-19 symptoms are generally similar in children and adults, but children typically have milder illness. Reported symptoms in children include fever, runny nose, cough, and sometimes vomiting and diarrhea; severe symptoms are uncommon."
What is the percentage reduction in pneumonia cases due to vaccination?,"Haemophilus influenzae type B conjugate vaccination in high-burden communities, the vaccination was associated with an 18% decrease in radiologic pneumonia [13] . Introduction of pneumococcal conjugate vaccination was associated with a 26% decrease in radiologic pneumonia in California between 1995 and 1998 [14] . In vaccine efficacy trials in low-and middle-income countries, pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia [15] , 25% in South Africa [16] and 26% in the Philippines",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination,"Haemophilus influenzae type B conjugate vaccination was associated with an 18% decrease in radiologic pneumonia. Pneumococcal conjugate vaccination was associated with a 26% decrease in radiologic pneumonia in California. || Pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia, 25% in South Africa, and 26% in the Philippines. || Vaccination-13 had a vaccine efficacy of 39% in preventing presumed bacterial pneumonia in children older than 16 weeks who were not infected with HIV in South Africa. || The 10-valent pneumococcal conjugate vaccine has a vaccine efficacy of 22% in preventing presumed bacterial pneumonia in young children in South America. || There has been a 25% decrease in the incidence of pneumonia in low-and middle-income countries, from 0.29 episodes per child year in 2000 to 0.22 episodes per child year in 2010.","The context reports multiple percentage reductions/effect sizes depending on the vaccine, setting, and outcome definition:
- Haemophilus influenzae type B (Hib) conjugate vaccination: 18% decrease in radiologic pneumonia.
- Pneumococcal conjugate vaccination: 26% decrease in radiologic pneumonia in California; 37% in the Gambia; 25% in South Africa; 26% in the Philippines.
- 13-valent vaccine (“Vaccination-13”): 39% vaccine efficacy against presumed bacterial pneumonia (children >16 weeks, HIV-uninfected) in South Africa.
- 10-valent pneumococcal conjugate vaccine: 22% vaccine efficacy against presumed bacterial pneumonia in young children in South America.

Because these values vary by vaccine and study location/outcome, the context does not provide a single overall percentage reduction due to vaccination."
